Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
VNPV1-480,Rượu Vang Chateau La Croix De Queynac Bordeaux,432.000,"Pháp
","14 %
","750 ML
","Cabernet Franc,Cabernet Sauvignon,Merlot",Đỏ,Rượu vang đỏ,: Croix de Queynac,Bordeaux
VNNHDL1-800,Rượu Vang Chateau La Croix Des Ducs,613.000,"Pháp
","13 %
","750 ML
",Merlot, Đỏ ruby,Rượu Vang Đỏ,: Chateau La Croix,Bordeaux
VNDL-3000,Rượu Vang Chateau La Croix Du Casse,1,"Pháp
","13.5 %
","750 ML
","Merlot,Cabernet Franc",Màu tím đậm,Rượu Vang Đỏ,Borie Manoux,Bordeaux
VNTH-3200,Rượu Vang Chateau La Dominique,3.200.000,"Pháp
","14 %
","750 ML
","Merlot,Cabernet Franc,Cabernet Sauvignon", Đỏ ruby đậm,Rượu Vang Đỏ,: Chateau La Dominique,Bordeaux
VNHP-800,Rượu Vang Chateau La Douce Medoc,800.000,"Pháp
","13.5 %
","750 ML
",Merlot, Đỏ ruby,Rượu Vang đỏ,: Chateau La Douce,Bordeaux
VNWH3-765,Rượu Vang Chateau La Faviere Bordeaux Superieur,690.000,"Pháp
","14 %
","750 ML
","Cabernet Franc,Merlot,Cabernet Sauvignon", Đỏ đậm,Rượu Vang Đỏ,Chateau La Faviere,Bordeaux
VNDL6-494,Rượu Vang Chateau La Fleur Bellevue,494.000,"Pháp
","13 %
","750 ML
","Merlot,Cabernet Sauvignon",Màu đỏ Ruby,Rượu Vang Đỏ,Chateau Bellevue,Bordeaux
VNHD9-850,Rượu Vang Chateau La Fleur Peilhan,850.000,"Pháp
","12.5 %
","750 ML
","Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot",Đỏ ruby,Rượu Vang Đỏ, Chateau La Fleur Peilhan,Bordeaux
VNTK-13334,Rượu Vang Chateau La Fleur Petrus Pomerol,13.334.000,"Pháp
","13.5 %
","750 ML
","Merlot,Cabernet Franc",Đỏ ruby,Rượu Vang Đỏ,: Château La Fleur,Bordeaux
VNPE-3938,Rượu Vang Chateau La Gaffeliere,3.938.000,"Pháp
","14 %
","750 ML
","Merlot,Cabernet Franc",Đỏ ruby đậm,Rượu Vang Đỏ,: Maison Bouey,Bordeaux
VNWH3-1750,Rượu Vang Chateau La Garenne Pomerol,1,"Pháp
","14 %
","750 ML
",,,Rượu Vang đỏ,,Bordeaux
VNHM2-340,Rượu Vang Chateau La Grande Gelleyre Bordeaux,340.000,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Merlot",Đỏ ruby,Rượu Vang Đỏ,,Bordeaux
VNYW-1529,Rượu Vang Chateau La Gravette Lacombe,1.529.000,"Pháp
","13.5 %
","750 ML
",Blend,Đỏ ruby,Rượu Vang Đỏ,,"
"
VNHD-425,Rượu Vang Chateau La Graviere Bordeaux,425.000,"Pháp
","13.5 %
","750 ML
","Cabernet Franc,Merlot",Đỏ ruby,Rượu Vang Đỏ,Chateau La Graviere,Bordeaux
VNWH8-475,Rượu Vang Chateau La Graviere Entre Deux Mers,450.000,"Pháp
","14.5 %
","750 ML
","Semillon,Sauvignon Blanc,Muscadelle",Vàng chanh rực rỡ,Rượu Vang Trắng,,Bordeaux
VNWH9-1950,Rượu Vang Chateau La Gurgue Margaux,1,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Petit Verdot,Merlot",Màu hồng ngọc đậm,Rượu Vang đỏ,,Bordeaux
VNWH6-450,Rượu Vang Chateau La Hase Bordeaux,450.000,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Cabernet Franc,Merlot", Màu đỏ ruby tối,Rượu vang đỏ, Château La Hase,Bordeaux
VNHM1-2300,Rượu Vang Chateau La Haye – Saint Estephe,2.300.000,"Pháp
","13 %
","750 ML
","Merlot,Cabernet Sauvignon",Đỏ ruby,Rượu Vang Đỏ,Chateau La Haye,Bordeaux
VNPV-3557,Rượu Vang Chateau La Lagune Hault Medoc,3.202.000,"Pháp
","13.5 %
","750 ML
","Cabernet Sauvignon,Merlot,Petit Verdot,Cabernet Franc", Tím đậm,Rượu Vang Đỏ,Chateau La Lagune,Bordeaux
VNDL-1824,Rượu Vang Chateau La Marzelle Grand Cru Classe,1,"Pháp
","13 %
","750 ML
",,,Merlot,,
VNNHDL-800,Rượu Vang Chateau La Raze Beauvallet,625.000,"Pháp
","13 %
","750 ML
","Cabernet sauvignon,Merlot,Petit verdot,Cabernet franc", Đỏ ruby,Rượu Vang Đỏ,,Bordeaux
VNVH-298,Rượu Vang Chateau La Roche Combet,298.000,"Pháp
","13 %
","750 ML
","Merlot,Cabernet Franc,Cabernet Sauvignon",Đỏ ,Rượu Vang Đỏ,Chateau La Roche Combet, Bergerac
VNVC3-528,Rượu Vang Chateau La Roche Mezieres Castillon Côtes De Bordeaux,528.000,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Cabernet Franc,Merlot",Đỏ ruby,Rượu Vang Đỏ,Chateau La Roche,Bordeaux
VNDL-503,Rượu Vang Chateau La Rose Bellevue,479.000,"Pháp
","14 %
","750 ML
","Merlot,Cabernet Sauvignon",Màu đỏ Ruby,Rượu Vang Đỏ,Chateau Bellevue,Bordeaux
VNDL1-694,Rượu Vang Chateau La Rose Bellevue Grappe Diem,679.000,"Pháp
","14 %
","750 ML
","Merlot,Cabernet Sauvignon",Màu đỏ tía đậm,Rượu Vang Đỏ,Chateau Bellevue,Bordeaux
VNWH12-650,Rượu Vang Chateau La Rose Nouet Graves,650.000,"Pháp
","14 %
","750 ML
","Cabernet Sauvignon,Merlot", Đỏ ruby tối có ánh tím garnet,Rượu Vang Đỏ,,Bordeaux
VNRVPR20 - VNTH1-2800,Rượu Vang Chateau La Tour Carnet,1,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Merlot", Màu đỏ đậm,Rượu vang đỏ,,Bordeaux
VNQW-1422,Rượu Vang Chateau La Tour De Mons Margaux,1.422.000,"Pháp
","13.5 %
","750 ML
","Merlot,Cabernet Sauvignon,Cabernet Franc",Đỏ ruby ,Rượu Vang Đỏ,,Bordeaux
VNTH2-2200,Rượu Vang Chateau La Truffe Pomerol,2.050.000,"Pháp
","13 %
","750 ML
","Cabernet Franc,Cabernet Saugvignon,Merlot", Đỏ,Rượu vang đỏ,,Bordeaux
VNADT-1560,Rượu Vang Chateau Labegorce Margaux,1.560.000,"Pháp
","13 %
","750 ML
","Cabernet Sauvignon,Merlot",Đỏ ruby,Rượu Vang Đỏ,Chateau Labegorce,Bordeaux
