,Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
1104,VNMH7-890,Rượu Vang Coppola Diamond Collection Zinfandel,890000.0,Mỹ,14.0,750.0,Zinfandel,đỏ ruby,Rượu Vang Đỏ,Fetzer,California
1105,VNMH1-570,Rượu Vang Coppola Rosso & Bianco Cabernet Sauvignon,570000.0,Mỹ,14.1,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Fetzer,California
1106,VNMH-570,Rượu Vang Coppola Rosso & Bianco Pinot Grigio,570000.0,Mỹ,13.5,750.0,Pinot Grigio,vàng rơm,Rượu Vang Trắng,Fetzer,California
1107,VNPV-1191,Rượu Vang Cordier Collection Privee Sauternes,1072000.0,Pháp,12.5,750.0,"Semillon,Sauvignon Blanc",vàng nhạt,Rượu vang ngọt,Borie Manoux,Bordeaux
1108,VNPV1-783,Rượu Vang Cordillera Reserva Especial Cabernet Sauvignon,705000.0,Chile,14.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Miguel Torres,Maipo Valley
1109,VNTBM-163,Rượu Vang Cornellana Cabernet Sauvignon,163000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Cornellana,Central Valley
1110,VNTBM2-163,Rượu Vang Cornellana Chardonnay,163000.0,Chile,13.0,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Cornellana,Cachapoal Valley
1111,VNTBM-475,Rượu Vang Cornellana Cuvee Gran Reserva,475000.0,Chile,14.5,750.0,"Cabernet Sauvignon,Syrah,Merlot,Carmenère",đỏ ruby,Rượu Vang Đỏ,Cornellana,Cachapoal Valley
1112,VNTBM-263,Rượu Vang Cornellana Reserva Cabernet Sauvignon,263000.0,Chile,14.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Cornellana,Cachapoal Valley
1113,VNTBM1-263,Rượu Vang Cornellana Reserva Chardonnay,360000.0,Chile,13.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Cornellana,Cachapoal Valley
1114,VNVH-530,Rượu Vang Corte Balda Negroamaro,530000.0,Ý,13.5,750.0,Negroamaro,đỏ ruby,Rượu Vang Đỏ,Corte Balda,Puglia
1115,VNVH1-530,Rượu Vang Corte Balda Primitivo,530000.0,Ý,13.5,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Corte Balda,Puglia
1116,VNLK2-600,Rượu Vang Corte Bianco Laguna Di Corte Viola,600000.0,Ý,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Corte Viola,Sicily – Italia
1117,VNLK1-1050,Rượu Vang Corterosso Supremo 1953 Primitivo,1050000.0,Ý,16.0,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Cantina Fondata Nel,Puglia
1118,VNSSP-1215,Rượu Vang Corterosso Supremo 1953 Primitivo Di Manduria Riserva,1215000.0,Ý,15.0,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Corterosso,Puglia
1119,VNDL-344,Rượu Vang Cosecha Cabernet Sauvignon,315000.0,Chile,13.0,750.0,Cabernet Sauvignon,đỏ đậm,Rượu vang đỏ,Tarapaca,Central Valley
1120,VLTL1-318,Rượu Vang Cote Mas Blanc Mediterranee,318000.0,Pháp,12.5,750.0,"Chardonnay,Grenache,Vermentino,Sauvignon Blanc",vàng rơm,Rượu Vang Trắng,Cote Mas,Languedoc
1121,VLTL1-562,Rượu Vang Cote Mas Languedoc Blanc,562000.0,Pháp,13.5,750.0,"Vermentino,Grenache,Viognier,Marsanne",vàng rơm,Rượu Vang Trắng,Vignobles JeanJean,Languedoc
1122,VLTL-318,Rượu Vang Cote Mas Rouge Intense,318000.0,Pháp,13.5,750.0,"Carignan,Cinsault,Syrah,Merlot,Grenache",đỏ ruby,Rượu Vang Đỏ,Vignobles JeanJean,Languedoc
1123,VNDL1-1471,Rượu Vang Couvent De L’Eglise Pomerol,1471000.0,Pháp,13.5,750.0,"Merlot,Cabernet Franc",đỏ anh đào,Rượu Vang Đỏ,Borie Manoux,Bordeaux
1124,VNWH9-896,Rượu Vang Craggy Range Kidnappers Chardonnay,875000.0,New Zealand,12.5,750.0,Chardonnay,vàng rơm,Rượu vang trắng,Craggy Range,Martinborough
1125,VNWH5- 896,Rượu Vang Craggy Range Te Muna Vineyard Sauvignon Blanc,880000.0,New Zealand,12.5,750.0,Sauvignon Blanc,vàng rơm nhạt ánh xanh lá cây,Rượu vang trắng,Craggy Range,Martinborough
1126,VNWP2-1450,Rượu Vang Creencia Con Juventud Monastrell,1450000.0,Tây Ban Nha,15.5,750.0,Monastrell,đỏ ruby,Rượu Vang Đỏ,Hammeken,Do Jumilla
1127,VNCIE-200,Rượu Vang Cremaschi Furlotti Cabernet Sauvignon,200000.0,Chile,13.6,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Concha Y Toro,Central Valley
1128,VNCIE-265,Rượu Vang Cremaschi Furlotti Reserva Cabernet Sauvignon,265000.0,Chile,13.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Cremaschi Furlotti,Loncomilla Valley
1129,VNCIE1-200,Rượu Vang Cremaschi Furlotti Sauvignon Blanc,200000.0,Chile,12.8,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Concha Y Toro,Central Valley
1130,VNCIE-455,Rượu Vang Cremaschi Furlotti Single Vineyard Cabernet Sauvignon,455000.0,Chile,13.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,7Colores,Maule Valley
1131,VNCIE-1200,Rượu Vang Cremaschi Furlotti Venere,1200000.0,Chile,14.0,750.0,"Syrah,Cabernet Sauvignon,Carménère",đỏ ruby,Rượu Vang Đỏ,Cremaschi Furlotti,Loncomilla Valley
1132,VNVY1-310,Rượu Vang Cremovo Vino Aromatizzato All’uovo,310000.0,Ý,16.0,750.0,Blend,đỏ hồng,Rượu Vang Ngọt,Lombado,Sicilia
1133,VNSSP4-595,Rượu Vang Crianza Santalba,595000.0,Tây Ban Nha,13.5,750.0,Tempranillo,đỏ ruby,Rượu Vang Đỏ,Bodegas Santalba S.A,"Ollauri, Gimileo & San Vicente, Vùng Rioja Alta"
1134,VNTLP1-495,Rượu Vang Cristella Toscano Bianco,495000.0,Ý,14.0,750.0,Viognier,vàng rơm,Rượu Vang Trắng,Cristella,Tuscany
1135,VNTH17-550,Rượu Vang Croix de Rousset Caillau,550000.0,Pháp,14.5,750.0,"Merlot,Cabernet Sauvignon,Cabernet Franc",đỏ đậm pha ánh tím,Rượu Vang Đỏ,Borie Manoux,Bordeaux
1136,VNMH7-550,Rượu Vang Crozes Hermitage Grand Classique,550000.0,Pháp,12.5,750.0,Marsanne,vàng nhạt,Rượu vang trắng,Cave De Tain,Côtes du Rhône
1137,VNTH-420,Rượu Vang Cruz Andina Cabernet Sauvignon,420000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ,Rượu vang đỏ,Cruz Andina,Colchagua Valley
1138,VNTH3-550,Rượu Vang Cruz Andina Red Blend,550000.0,Chile,14.5,750.0,"Cabernet Sauvignon,Carmenere",đỏ,Rượu vang đỏ,Cruz Andina,Maipo Valley
1139,VNTH1-750,Rượu Vang Cruz Andina The Blend,750000.0,Chile,14.5,750.0,"Cabernet Sauvignon,Carmenere",đỏ đậm,Rượu Vang Đỏ,Cruz Andina,Colchagua Valley
1140,VNTK-4387,Rượu Vang Culmen Reserva Rioja,4387000.0,Tây Ban Nha,13.5,750.0,"Tempranillo,,Graciano",đỏ ruby,Rượu Vang Đỏ,Culmen,Rioja
1141,VLTL2-5616,Rượu Vang Cuvee Privee Du Chateau Cadet Bon,5616000.0,Pháp,13.5,750.0,Merlot,đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1142,VNTL2-5616,Rượu Vang Cuvee Privee Du Chateau Giscours,5616000.0,Pháp,13.5,750.0,"Cabernet Sauvignon,Cabernet Franc,Merlot",đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1143,VLTL1-5616,Rượu Vang Cuvee Privee Du Chateau La Gaffeliere,5616000.0,Pháp,14.5,750.0,"Cabernet Franc,Merlot",đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1144,VNTL1-5616,Rượu Vang Cuvee Privee Du Chateau Lascombes,5616000.0,Pháp,13.0,750.0,"Cabernet Sauvignon,Merlot",đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1145,VNTL-5616,Rượu Vang Cuvee Privee Du Chateau Leoville,5616000.0,Pháp,13.0,750.0,"Petit Verdot,Cabernet Sauvignon,Merlot",đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1146,VLTL-5616,Rượu Vang Cuvee Privee Du Chateau Malartic Lagravere,5616000.0,Pháp,13.5,750.0,"Cabernet Sauvignon,Cabernet Franc,Merlot",đỏ,Rượu vang đỏ,Borie Manoux,Bordeaux
1147,VNSSP2-795,Rượu Vang Cuvee Valtine Chateau Hostens Picant,795000.0,Pháp,14.5,750.0,"Merlot,Cabernet Franc",đỏ ruby,Rượu Vang Đỏ,Chateau Hostens Picant,"Rivesaltes, vùng Roussillon, Pháp"
1148,VNTK1-1467,Rượu Vang D De Dassault Saint Emilion Grand Cru,1467000.0,Pháp,15.0,750.0,"Merlot,Cabernet Franc,Cabernet Sauvignon",đỏ ruby,Rượu Vang Đỏ,Château Dassault,Bordeaux
1149,VNMH1-500 - VNBMF-504,Rượu Vang D De Dauzac,504000.0,Pháp,13.0,750.0,"Cabernet Sauvignon,Merlot",đỏ thạch lựu,Rượu Vang Đỏ,Chateau Dauzac,Bordeaux
1150,VNTLP-1100,Rượu Vang D Terre Di San Gorgone Chianti D.O.C.G,1100000.0,Ý,15.0,750.0,Sangiovese,đỏ ruby,Rượu Vang Đỏ,Terre Di San Gorgone,Chianti thuộc miền Trung nước Ý
1151,VNPV-790,Rượu Vang D’Arenberg The Broken Fishplate Sauvignon Blanc,711000.0,ÚC,13.0,750.0,Sauvignon Blanc,vàng nhạt,Rượu vang trắng,D’Arenberg,Adelaide Hills
1152,VNPV1-1994,Rượu Vang D’Arenberg The Coppermine Road Cabernet Sauvignon,1795000.0,ÚC,15.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu vang đỏ,D’Arenberg,McLaren Vale
1153,VNPV2-691,Rượu Vang D’Arenberg The Dry Dam Riesling,622000.0,ÚC,13.0,750.0,Riesling,vàng nhạt,Rượu Vang Trắng,D’Arenberg,McLaren Vale & Adelaide Hills
1154,VNPV-977,Rượu Vang D’Arenberg The Lucky Lizard Chardonnay,880000.0,ÚC,14.0,750.0,Chardonnay,vàng rơm,Rượu vang trắng,D’Arenberg,Adelaide Hills
1155,VNPV5-523,Rượu Vang D’Arenberg The Stump Jump Lightly Wooded Chardonnay,471000.0,ÚC,13.5,750.0,Chardonnay,vàng rơm ánh xanh,Rượu Vang Trắng,D’Arenberg,McLaren Vale & Adelaide Hills
1156,VNPV1-782,Rượu Vang D’Arenberg d’Arry’s Original Grenache Shiraz,704000.0,ÚC,13.5,750.0,"Shiraz,Grenache",đỏ đậm,Rượu Vang Đỏ,D’Arenberg,McLaren Vale
1157,VNPV1-790,Rượu Vang D’Arenberg The Footbolt Shiraz,711000.0,ÚC,14.0,750.0,Shiraz,đỏ thẫm,Rượu Vang Đỏ,D’Arenberg,McLaren Vale
1158,VNPV3-691,Rượu Vang D’Arenberg The Hermit Crab Viognier Marsanne,622000.0,ÚC,13.0,750.0,"Marsanne,Viognier",vàng ánh xanh lá,Rượu Vang Trắng,D’Arenberg,McLaren Vale & Adelaide Hills
1159,VNPV-2102,Rượu Vang D’Arenberg The Ironstone Pressings,1892000.0,ÚC,14.5,750.0,"Grenache,Shiraz,Mourvedre",đỏ ruby,Rượu Vang Đỏ,D’Arenberg,McLaren Vale
1160,VNTL-468,Rượu Vang DA Syrah Reserve,468000.0,Pháp,14.0,750.0,Syrah,đỏ ruby,Syrah,Domaine Astruc,Languedoc
1161,VNTH-2400,Rượu Vang Dal Cero Amarone Della Valpolicella,2400000.0,Ý,16.0,750.0,"Corvina,Molinara,Rondinella",đỏ đậm,Rượu Vang Amarone,Dal Cero,Veneto
1162,VNPV-402,Rượu Vang De Bortoli DB Selection Cabernet Sauvignon,362000.0,ÚC,13.5,750.0,Cabernet Sauvignon,đỏ tía,Rượu vang đỏ,De Bortoli,South Eastern Australia
1163,VNPV1-396,Rượu Vang De Bortoli DB Selection Semillon Chardonnay,357000.0,ÚC,13.5,750.0,"Chardonnay,Semillon",vàng chanh ánh xanh,Rượu vang trắng,De Bortoli,New South Wales
1164,VNPV3-402,Rượu Vang De Bortoli Family Selection Chardonnay,362000.0,ÚC,13.0,750.0,Chardonnay,vàng chanh,Rượu vang trắng,De Bortoli,New South Wales
1165,VNPV4-402,Rượu Vang De Bortoli Family Selection Pinot Grigio,362000.0,ÚC,12.0,750.0,Pinot Grigio,vàng nhạt,Rượu vang trắng,De Bortoli,New South Wales
1166,VNPV-396,Rượu Vang De Bortoli Family Selection Shiraz Cabernet,357000.0,ÚC,13.0,750.0,"Cabernet Sauvignon,Shiraz",đỏ đậm,Rượu vang đỏ,De Bortoli,New South Wales
1167,VNPV-1188,Rượu Vang De Bortoli Riorret Lusatia Park Chardonnay,1070000.0,ÚC,13.5,750.0,Chardonnay,vàng nhạt,Rượu vang trắng,De Bortoli,Yarra Valley
1168,VNPV2-401,Rượu Vang De Bortoli Sacred Hill Semillon Chardonnay,361000.0,ÚC,13.0,750.0,"Chardonnay,Semillon",vàng nhạt,Rượu vang trắng,De Bortoli,New South Wales
1169,VNPV1-1354,Rượu Vang De Bortoli The Noble One Botrytised Semillon,1219000.0,ÚC,10.0,375.0,Semillon,vàng rơm,Rượu vang ngọt,De Bortoli,South Eastern
1170,VNPV-728,Rượu Vang De Bortoli Villages Shiraz Grenache Heathcote,656000.0,ÚC,13.5,750.0,"Shiraz,Grenache",đỏ đậm,Rượu vang đỏ,De Bortoli,Heathcote
